Wed Mar 12 13:46:48 2025    cnv_purple_profile

         506475981 function calls (494362664 primitive calls) in 691.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.001    0.000   18.342    4.585 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backends/backend_cairo.py:460(_get_printed_image_surface)
  1253424    4.633    0.000   18.084    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/internals/managers.py:1863(from_array)
   248160    2.204    0.000   17.845    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/indexers/utils.py:419(check_array_indexer)
  1760384   11.940    0.000   17.738    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/generic.py:6236(__finalize__)
   243704    0.840    0.000   16.008    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/series.py:6418(_reduce)
5084364/4838724    4.718    0.000   15.257    0.000 {built-in method numpy.asarray}
        2    0.000    0.000   15.248    7.624 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backend_bases.py:1876(draw_idle)
        2    0.000    0.000   15.248    7.624 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:375(draw)
 11907722    6.362    0.000   14.786    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
  2471678    4.893    0.000   14.671    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/series.py:784(name)
   725192    1.421    0.000   14.286    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:560(<listcomp>)
   242698    0.723    0.000   14.281    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/nanops.py:111(f)
   255738    1.147    0.000   13.921    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/frame.py:3983(_ixs)
   240282    0.730    0.000   13.493    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/nanops.py:389(new_func)
26961028/19109521    9.224    0.000   13.097    0.000 {built-in method builtins.len}
   723608   10.140    0.000   12.864    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:350(_broadcast_to)
   240282    0.878    0.000   12.764    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/nanops.py:1083(reduction)
        2    0.000    0.000   12.736    6.368 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/legacy_tools.py:106(get_results)
  1270022    2.329    0.000   12.601    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/_config/config.py:145(_get_option)
        2    0.000    0.000   12.210    6.105 /u/ibancarz/git/djerba/src/lib/djerba/util/wgts/tools.py:94(has_expression)
        2    0.000    0.000   12.210    6.105 /u/ibancarz/git/djerba/src/lib/djerba/util/validator.py:216(input_path_exists)
        6   12.209    2.035   12.209    2.035 {built-in method time.sleep}
   757032    1.569    0.000   12.196    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2496(any)
   487014    2.898    0.000   12.119    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:393(logical_op)
   242656   10.504    0.000   11.930    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
   952376    3.104    0.000   11.895    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/series.py:1095(__getitem__)
  1748660    3.961    0.000   11.701    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/generic.py:6284(__getattr__)
672916/257240    4.759    0.000   11.617    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:2431(get_affine)
   975994    2.845    0.000   10.681    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
   723604    6.374    0.000   10.649    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:1024(_open_support_mask)
   566990    0.525    0.000   10.372    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:1340(__add__)
  1256136    3.004    0.000   10.076    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/generic.py:807(_set_axis)
    32202    0.359    0.000   10.053    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:1418(__sub__)
  1708542    1.329    0.000    9.961    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/_core/_methods.py:59(_any)
226478/226472    1.769    0.000    9.805    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:1108(get_points)
  2471750    3.313    0.000    9.779    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1571(validate_all_hashable)
   568118    0.904    0.000    9.734    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:2498(composite_transform_factory)
   160812    0.390    0.000    9.614    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/patches.py:934(get_bbox)
   788124    1.330    0.000    9.446    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2611(all)
        2    0.002    0.001    9.361    4.680 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/lets_plot/export/ggsave_.py:18(ggsave)
        2    0.015    0.008    9.359    4.679 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/lets_plot/plot/core.py:843(_to_svg)
