ENSG00000116685.17	KIAA2013
ENSG00000083444.17	PLOD1
ENSG00000287384.1	ENSG00000287384
ENSG00000116688.18	MFN2
ENSG00000270914.1	ENSG00000270914
ENSG00000116691.11	MIIP
ENSG00000202461.1	Y_RNA
ENSG00000276869.1	MIR6729
ENSG00000243539.3	RN7SL649P
ENSG00000120949.15	TNFRSF8
ENSG00000201135.1	RNU6-777P
ENSG00000227875.2	RPL23AP89
ENSG00000285604.1	ENSG00000285604
ENSG00000283789.1	MIR7846
ENSG00000028137.19	TNFRSF1B
ENSG00000263676.1	MIR4632
ENSG00000225196.2	RPL10P17
ENSG00000252969.1	SNORA70
ENSG00000048707.15	VPS13D
ENSG00000239149.1	SNORA59A
ENSG00000229484.3	LINC02766
ENSG00000162496.9	DHRS3
ENSG00000221340.1	RNU6ATAC18P
ENSG00000276830.1	MIR6730
ENSG00000288927.2	ENSG00000288927
ENSG00000272482.2	ENSG00000272482
ENSG00000204518.3	AADACL4
ENSG00000226166.2	ENSG00000226166
ENSG00000188984.12	AADACL3
ENSG00000157330.10	CFAP107
ENSG00000116726.5	PRAMEF12
ENSG00000116721.9	PRAMEF1
ENSG00000228338.1	LINC01784
ENSG00000239810.3	PRAMEF11
ENSG00000231103.2	PRAMEF30P
ENSG00000179172.10	HNRNPCL1
ENSG00000120952.4	PRAMEF2
ENSG00000243073.4	PRAMEF4
ENSG00000187545.5	PRAMEF10
ENSG00000204510.6	PRAMEF7
ENSG00000207434.1	RNU6-1072P
ENSG00000234064.1	PRAMEF29P
ENSG00000232423.6	PRAMEF6
ENSG00000274178.2	PRAMEF28P
ENSG00000274764.6	PRAMEF27
ENSG00000277058.3	HNRNPCL3
ENSG00000229571.7	PRAMEF25
ENSG00000277862.1	PRAMEF34P
ENSG00000236179.1	PRAMEF35P
ENSG00000275774.3	HNRNPCL2
ENSG00000229978.2	PRAMEF36P
ENSG00000290772.1	ENSG00000290772
ENSG00000233336.1	ENSG00000233336
ENSG00000280267.6	PRAMEF26
ENSG00000179412.11	HNRNPCL4
ENSG00000204505.5	PRAMEF9
ENSG00000279169.3	PRAMEF13
ENSG00000279804.3	PRAMEF18
ENSG00000250894.1	PRAMEF31P
ENSG00000270601.5	PRAMEF5
ENSG00000231219.1	PRAMEF32P
ENSG00000207511.1	RNU6-771P
ENSG00000182330.11	PRAMEF8
ENSG00000237700.2	PRAMEF33
ENSG00000204501.7	PRAMEF15
ENSG00000228229.2	ENSG00000228229
ENSG00000204481.8	PRAMEF14
ENSG00000204480.9	PRAMEF19
ENSG00000204479.4	PRAMEF17
ENSG00000204478.11	PRAMEF20
ENSG00000162494.6	LRRC38
ENSG00000259961.1	ENSG00000259961
ENSG00000215909.3	BRWD1P1
ENSG00000162493.17	PDPN
ENSG00000222952.1	RNA5SP41
ENSG00000237445.2	ENSG00000237445
ENSG00000253085.1	ENSG00000253085
ENSG00000116731.23	PRDM2
ENSG00000289380.1	ENSG00000289380
ENSG00000189337.17	KAZN
ENSG00000252151.1	RNU6-1265P
ENSG00000231606.2	ENSG00000231606
ENSG00000234593.3	KAZN-AS1
ENSG00000235829.1	TBCAP2
ENSG00000287756.1	ENSG00000287756
ENSG00000175147.13	TMEM51-AS1
ENSG00000171729.14	TMEM51
ENSG00000204464.7	TMEM51-AS2
ENSG00000215720.4	MFFP1
ENSG00000278480.1	ZBTB2P1
ENSG00000142621.21	FHAD1
ENSG00000233485.1	FHAD1-AS1
ENSG00000236045.1	ENSG00000236045
ENSG00000228140.2	EFHD2-AS1
ENSG00000142634.13	EFHD2
ENSG00000162438.12	CTRC
ENSG00000142615.8	CELA2A
ENSG00000215704.10	CELA2B
ENSG00000132906.18	CASP9
ENSG00000116138.13	DNAJC16
ENSG00000251866.1	SCARNA21B
ENSG00000272510.1	ENSG00000272510
ENSG00000116771.6	AGMAT
