sample	cell_type	score	ptile
OCT_011510_Lu_M_PE_320_WT	T cell CD8+	0.00052199	16.80672269
OCT_011515_Ki_M_PE_273_WT	T cell CD8+	0.03584583	44.53781513
OCT_011524_Ov_P_PE_332_WT	T cell CD8+	0	0
OCT_011531_Br_P_PE_259_WT	T cell CD8+	0.047260236	56.30252101
OCT_011531_Br_P_PE_268_WT	T cell CD8+	0.09571403	73.1092437
OCT_011531_Br_P_PE_292_WT	T cell CD8+	0.077819767	68.90756303
OCT_011540_Pa_M_PE_312_WT	T cell CD8+	0.129466246	84.03361345
OCT_011559_Bn_M_PE_290_WT	T cell CD8+	0	0
OCT_011581_Co_P_PE_296_WT	T cell CD8+	0.059753459	63.02521008
OCT_011610_Lu_P_PE_275_WT	T cell CD8+	0.054515407	61.34453782
OCT_011611_Ki_P_PE_301_WT	T cell CD8+	0.022108081	30.25210084
OCT_011626_Ln_M_PE_305_WT	T cell CD8+	0.074648134	67.22689076
OCT_011633_Ki_P_PE_285_WT	T cell CD8+	0	0
OCT_011657_Co_P_PE_281_WT	T cell CD8+	0.102574485	76.47058824
OCT_011666_Bn_M_PE_327_WT	T cell CD8+	0	0
OCT_011714_Br_P_PE_318_WT	T cell CD8+	0.051032915	59.66386555
OCT_011717_So_M_PE_283_WT	T cell CD8+	0.135532584	84.87394958
OCT_011727_Ut_M_PE_297_WT	T cell CD8+	0.064529687	63.86554622
OCT_011755_Lu_M_PE_285_WT	T cell CD8+	0.026615383	35.29411765
OCT_011762_Sb_M_PE_293_WT	T cell CD8+	0.069171218	64.70588235
OCT_011811_Ab_M_PE_297_WT	T cell CD8+	0.187166653	90.75630252
OCT_011832_Pe_M_PE_306_WT	T cell CD8+	0	0
OCT_011891_Ln_M_PE_303_WT	T cell CD8+	0	0
OCT_011935_Ty_P_PE_361_WT	T cell CD8+	0.074373153	67.22689076
OCT_011943_Ki_M_PE_288_WT	T cell CD8+	0.076840184	68.06722689
OCT_011993_Ov_P_PE_298_WT	T cell CD8+	0.087442114	71.42857143
OCT_012005_Ce_P_PE_309_WT	T cell CD8+	0.04919439	58.82352941
OCT_012054_Lv_M_PE_306_WT	T cell CD8+	0	0
OCT_012137_Lu_M_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_012160_Lu_P_PE_276_WT	T cell CD8+	0.137625143	84.87394958
OCT_012211_Ap_M_PE_299_WT	T cell CD8+	0.060289282	63.02521008
OCT_012248_Pr_P_PE_301_WT	T cell CD8+	0	0
OCT_012258_Lu_M_PE_291_WT	T cell CD8+	0.037263205	47.89915966
OCT_012347_Re_P_PE_319_WT	T cell CD8+	0.024564259	33.61344538
OCT_012387_Lv_M_PE_273_WT	T cell CD8+	0.239060322	95.79831933
OCT_012401_Ty_P_PE_281_WT	T cell CD8+	0.017428043	26.05042017
OCT_030026_Lv_M_PE_313_WT	T cell CD8+	0.000643116	16.80672269
PALMS_006674_02_LB02-01	T cell CD8+	0.106976241	78.1512605
PALMS_006674_03_LB03-01	T cell CD8+	0.085817948	71.42857143
PALMS_008790_02_LB02-01	T cell CD8+	0.179840666	88.23529412
PALMS_009699_02_LB03-01	T cell CD8+	0	0
PALMS_011323_02_LB02-01	T cell CD8+	0.02216351	30.25210084
PALMS_013418_03_LB01-01	T cell CD8+	0	0
PALMS_016224_02_LB02-01	T cell CD8+	0.108970241	78.99159664
PALMS_016680_02_LB02-01	T cell CD8+	0.258958089	96.63865546
PALMS_023703_03_LB03-01	T cell CD8+	0	0
PALMS_024245_02_LB03-01	T cell CD8+	0.187087651	90.75630252
PALMS_027433_04_LB02-01	T cell CD8+	0.180418642	88.23529412
PALMS_030551_03_LB01-01	T cell CD8+	0.131041089	84.03361345
PALMS_030629_03_LB01-01	T cell CD8+	0.19990264	94.11764706
PALMS_032685_02_LB02-01	T cell CD8+	0.06753622	64.70588235
PANX_1213_Pm_M_PE_352_WT	T cell CD8+	0.037948778	47.89915966
PANX_1214_Lv_M_PE_357_WT	T cell CD8+	0	0
PANX_1234_Pm_M_PE_314_WT	T cell CD8+	0.014293955	25.21008403
